stair.thisTrialN	tilt	key_resp.corr					
0	10	1					
1	8	1					
2	-6	1					
3	4	1			79		
4	-2	1			21		
5	-1	1					
6	-1	1					
7	-1	1		-1			
8	1	0					
9	-2	1					
10	-2	1		-2			
11	2	0					
12	3	0					
13	-4	1					
14	4	1		4			
15	4	0					
16	-5	1		-5			
17	-5	0					
18	-6	1					
19	6	1		6			
20	6	0					
21	7	1					
22	7	1					
23	7	1		7			
24	-6	0					
25	6.5	1					
26	6.5	1					
27	-6.5	1		-6.5			
28	-6	0					
29	6.5	1					
30	6.5	1		6.5			
31	-6.5	0					
32	-7	1		-7			
33	-7	0					
34	7.5	1					
35	-7.5	1		-7.5			
36	-7.5	0					
37	-8	1		-8			
38	8	0					
39	8.5	1					
40	-8.5	1					
41	-8.5	1					
42	-8	1					
43	-8	1					
44	-8	1					
45	7.5	1					
46	-7.5	1					
47	7.5	1		7.5			
48	7	0					
49	7.5	1					
50	-7.5	1		-7.5			
51	-7.5	0					
52	8	1					
53	-8	1					
54	8	1					
55	7.5	1					
56	7.5	1					
57	7.5	1					
58	-7	1		-7			
59	-7	0					
60	-7.5	0					
61	-8	1					
62	8	1					
63	8	1					
64	7.5	1					
65	7.5	1					
66	-7.5	1					
67	-7	1					
68	-7	1					
69	-7	1		-7			
70	6.5	0					
71	7	1					
72	-7	1					
73	-7	1					
74	6.5	1					
75	6.5	1					
76	6.5	1					
77	-6	1					
78	6	1					
79	6	1					
80	5.5	1					
81	5.5	1					
82	5.5	1					
83	-5	1					
84	-5	1					
85	5	1					
86	-4.5	1					
87	-4.5	1					
88	-4.5	1				4	
89	-4	1		-4		4	
90	4	0				7	
91	-4.5	1				7	
92	-4.5	1				7.5	
93	-4.5	1					
94	-4	1				MEAN	5.9
95	4	1				Absolute Threshold	
96	-4	1		-4			
97	3.5	0					
98	4	0					
99	4.5	0					
